candidate_id,rank,score,reasoning
CAND_0046064,1,0.7690,"Senior NLP Engineer at Salesforce with 8.9 yrs exp; hands-on in Embeddings, Vector Search, Pinecone, Opensearch; recruiter response rate 0.78."
CAND_0052328,2,0.7523,"Recommendation Systems Engineer at Amazon with 6.5 yrs exp; hands-on in Embeddings, Vector Search, Pinecone, Opensearch; recruiter response rate 0.79."
CAND_0030031,3,0.7453,"AI Engineer at Microsoft with 5.7 yrs exp; hands-on in Embeddings, Vector Search, Milvus, Rag; recruiter response rate 0.94."
CAND_0028793,4,0.7427,"Search Engineer at Google with 7.2 yrs exp; hands-on in Embeddings, Pinecone, Elasticsearch, Faiss; recruiter response rate 0.57."
CAND_0071974,5,0.7364,"Senior AI Engineer at Netflix with 7.8 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Qdrant; recruiter response rate 0.76."
CAND_0024990,6,0.7341,"Junior ML Engineer at Zoho with 5.2 yrs exp; hands-on in Milvus, Opensearch, Elasticsearch, Retrieval; recruiter response rate 0.83."
CAND_0010257,7,0.7312,"Senior Data Scientist at Google with 6.5 yrs exp; hands-on in Embeddings, Qdrant, Milvus, Opensearch; recruiter response rate 0.72."
CAND_0005649,8,0.7287,"Senior Data Scientist at Sarvam AI with 7.4 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Elasticsearch; recruiter response rate 0.57."
CAND_0047721,9,0.7287,"Senior Data Scientist at Microsoft with 7.0 yrs exp; hands-on in Embeddings, Qdrant, Milvus, Faiss; recruiter response rate 0.49."
CAND_0054123,10,0.7223,"Applied ML Engineer at Meta with 4.7 yrs exp; hands-on in Embeddings, Vector Search, Weaviate, Qdrant; recruiter response rate 0.87."
CAND_0064904,11,0.7216,"AI Engineer at LinkedIn with 4.9 yrs exp; hands-on in Embeddings, Vector Search, Weaviate, Opensearch; recruiter response rate 0.78."
CAND_0061265,12,0.7210,"Recommendation Systems Engineer at Zoho with 6.6 yrs exp; hands-on in Embeddings, Vector Search, Qdrant, Milvus; recruiter response rate 0.94."
CAND_0081053,13,0.7197,"NLP Engineer at Glance with 5.4 yrs exp; hands-on in Embeddings, Weaviate, Qdrant, Opensearch; recruiter response rate 0.83."
CAND_0078002,14,0.7194,"Machine Learning Engineer at Meta with 6.3 yrs exp; hands-on in Embeddings, Weaviate, Rag, Retrieval; recruiter response rate 0.86."
